# Per-development-target detail for the graddiff reach/tail frontier (decision-critical rows)
campaign,setting_id,dev_target,recall,mean_dnll,cvar05_dnll
7b_tofu,lr1_s240,tofu-a198,0.005,1.36,17.29
7b_tofu,lr1_s240,tofu-a199,0.000,0.82,3.53
7b_tofu,lr075_s240,tofu-a198,0.006,1.69,16.02
7b_tofu,lr075_s240,tofu-a199,0.000,1.19,8.46
7b_tofu,lr05_s360,tofu-a198,0.005,1.72,17.85
7b_tofu,lr05_s360,tofu-a199,0.000,0.90,5.87
rwku_7b,lr05_s480,rwku-t000,0.056,2.44,10.53
rwku_7b,lr05_s480,rwku-t001,0.065,0.83,17.69
rwku_7b,repnoise_a1_c3_lr1_s480,rwku-t000,0.028,1.13,4.18
rwku_7b,repnoise_a1_c3_lr1_s480,rwku-t001,0.080,0.42,2.80
