predictor,family,objective,channel,rho,auroc,overlap,tail_rho
grad_norm,gradient,circuit_breakers,representation,-0.227,nan,nan,nan
grad_norm,gradient,ga,loss_gradient,0.204,nan,nan,nan
grad_norm,gradient,graddiff,loss_gradient,0.404,nan,nan,nan
grad_norm,gradient,gru,loss_gradient,0.429,nan,nan,nan
grad_norm,gradient,idkdpo,loss_gradient,0.413,nan,nan,nan
grad_norm,gradient,npo,loss_gradient,0.388,nan,nan,nan
grad_norm,gradient,repnoise,representation,-0.158,nan,nan,nan
grad_norm,gradient,rmu,representation,-0.039,nan,nan,nan
grad_norm,gradient,simnpo,loss_gradient,0.39,nan,nan,nan
fd_norm,gradient,circuit_breakers,representation,-0.25,0.53,0.17,-0.12
fd_norm,gradient,ga,loss_gradient,0.204,0.51,0.07,-0.18
fd_norm,gradient,graddiff,loss_gradient,0.407,0.75,0.2,-0.06
fd_norm,gradient,gru,loss_gradient,0.433,0.77,0.23,-0.1
fd_norm,gradient,idkdpo,loss_gradient,0.415,0.82,0.3,-0.26
fd_norm,gradient,npo,loss_gradient,0.396,0.79,0.27,0.1
fd_norm,gradient,repnoise,representation,-0.167,0.55,0.17,0.26
fd_norm,gradient,rmu,representation,-0.046,0.58,0.1,0.02
fd_norm,gradient,simnpo,loss_gradient,0.398,0.79,0.27,0.18
knn_feature,representation,circuit_breakers,representation,0.092,0.66,0.17,-0.03
knn_feature,representation,ga,loss_gradient,0.501,0.77,0.3,0.53
knn_feature,representation,graddiff,loss_gradient,0.492,0.7,0.27,-0.15
knn_feature,representation,gru,loss_gradient,0.423,0.68,0.23,-0.18
knn_feature,representation,idkdpo,loss_gradient,0.051,0.57,0.1,-0.0
knn_feature,representation,npo,loss_gradient,0.229,0.67,0.23,-0.38
knn_feature,representation,repnoise,representation,0.136,0.42,0.1,-0.02
knn_feature,representation,rmu,representation,0.339,0.66,0.3,-0.67
knn_feature,representation,simnpo,loss_gradient,0.213,0.67,0.23,-0.31
knn_embed,representation,circuit_breakers,representation,0.048,nan,nan,nan
knn_embed,representation,ga,loss_gradient,0.352,nan,nan,nan
knn_embed,representation,graddiff,loss_gradient,0.283,nan,nan,nan
knn_embed,representation,gru,loss_gradient,0.252,nan,nan,nan
knn_embed,representation,idkdpo,loss_gradient,0.097,nan,nan,nan
knn_embed,representation,npo,loss_gradient,0.151,nan,nan,nan
knn_embed,representation,repnoise,representation,0.21,nan,nan,nan
knn_embed,representation,rmu,representation,0.096,nan,nan,nan
knn_embed,representation,simnpo,loss_gradient,0.145,nan,nan,nan
knn_lexical,representation,circuit_breakers,representation,0.05,nan,nan,nan
knn_lexical,representation,ga,loss_gradient,0.176,nan,nan,nan
knn_lexical,representation,graddiff,loss_gradient,0.393,nan,nan,nan
knn_lexical,representation,gru,loss_gradient,0.337,nan,nan,nan
knn_lexical,representation,idkdpo,loss_gradient,0.001,nan,nan,nan
knn_lexical,representation,npo,loss_gradient,0.174,nan,nan,nan
knn_lexical,representation,repnoise,representation,-0.016,nan,nan,nan
knn_lexical,representation,rmu,representation,0.385,nan,nan,nan
knn_lexical,representation,simnpo,loss_gradient,0.159,nan,nan,nan
fd,alignment,circuit_breakers,representation,-0.06,nan,nan,nan
fd,alignment,ga,loss_gradient,0.075,nan,nan,nan
fd,alignment,graddiff,loss_gradient,-0.064,nan,nan,nan
fd,alignment,gru,loss_gradient,-0.059,nan,nan,nan
fd,alignment,idkdpo,loss_gradient,-0.093,nan,nan,nan
fd,alignment,npo,loss_gradient,-0.075,nan,nan,nan
fd,alignment,repnoise,representation,0.114,nan,nan,nan
fd,alignment,rmu,representation,-0.115,nan,nan,nan
fd,alignment,simnpo,loss_gradient,-0.074,nan,nan,nan
random_rank,control,circuit_breakers,representation,-0.002,nan,nan,nan
random_rank,control,ga,loss_gradient,0.015,nan,nan,nan
random_rank,control,graddiff,loss_gradient,0.021,nan,nan,nan
random_rank,control,gru,loss_gradient,0.031,nan,nan,nan
random_rank,control,idkdpo,loss_gradient,0.132,nan,nan,nan
random_rank,control,npo,loss_gradient,0.101,nan,nan,nan
random_rank,control,repnoise,representation,-0.114,nan,nan,nan
random_rank,control,rmu,representation,-0.054,nan,nan,nan
random_rank,control,simnpo,loss_gradient,0.1,nan,nan,nan
